name,creationYear,duration,original,description,topics
Bright under the Night,1992,5:48,True,Bright under the Night is a song that An anthem that resonates with the feeling of star.,"['Jazz', 'Relax']"
Eternal beyond the Night,1991,2:09,True,Eternal beyond the Night is a song that An anthem that resonates with the feeling of sunset.,"['Hip-Hop', 'Energetic']"
Broken Heart,2010,5:04,True,"Broken Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Dream beyond the Sunset,1981,5:05,False,Dream beyond the Sunset is a song that An anthem that resonates with the feeling of night.,"['Pop', 'Love']"
First under the Sunset,2014,3:03,True,First under the Sunset is a song that An anthem that resonates with the feeling of dream.,"['Jazz', 'Relax']"
Happy under the Star,2002,3:38,True,Happy under the Star is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Broken without a Night,1996,4:49,False,Broken without a Night is a song that A soulful composition that explores the complexity of sunrise.,"['Rock', 'Sad']"
Broken Sunrise,2005,4:00,True,Broken Sunrise is a song that An anthem that resonates with the feeling of star.,"['Rock', 'Sad']"
Sky to the Night,1987,5:56,True,Sky to the Night is a song that Evokes the essence of happy experiences.,"['Pop', 'Love']"
Sunset beyond the Heart,2008,5:05,True,Sunset beyond the Heart is a song that Evokes the essence of first experiences.,"['Jazz', 'Relax']"
Heart for a Sky,2005,2:53,True,"Heart for a Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Bright of the Day,1989,3:59,False,Bright of the Day is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Heart in the Night,2005,5:59,False,Heart in the Night is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Bright under the Night,2013,2:30,True,Bright under the Night is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Last Heart,2020,5:23,False,Last Heart is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Eternal for a Heart,1986,2:35,False,Eternal for a Heart is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Eternal Heart,1983,2:29,True,"Eternal Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Night without a Moon,1990,5:43,False,"Night without a Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Heart in the Dream,2008,3:29,True,Heart in the Dream is a song that An anthem that resonates with the feeling of sunrise.,"['Jazz', 'Relax']"
Final Dream,2015,3:27,False,Final Dream is a song that A soulful composition that explores the complexity of sunset.,"['Pop', 'Love']"
Dark in the Dream,2004,4:34,False,Dark in the Dream is a song that A soulful composition that explores the complexity of star.,"['Jazz', 'Relax']"
Last Sunset,2000,4:27,False,Last Sunset is a song that Evokes the essence of bright experiences.,"['Rock', 'Sad']"
Moon of the Sunset,2015,3:55,True,"Moon of the Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Final for a Star,1989,3:15,False,Final for a Star is a song that A soulful composition that explores the complexity of star.,"['Rock', 'Sad']"
Happy Moon,2016,5:53,True,Happy Moon is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Broken without a Sunrise,1988,4:41,True,Broken without a Sunrise is a song that An anthem that resonates with the feeling of sunrise.,"['Hip-Hop', 'Energetic']"
Eternal Sky,2003,2:12,False,Eternal Sky is a song that Evokes the essence of final experiences.,"['Jazz', 'Relax']"
Final Moon,2014,3:43,True,Final Moon is a song that Evokes the essence of beautiful experiences.,"['Jazz', 'Relax']"
Star of the Sunset,2014,2:44,False,Star of the Sunset is a song that Evokes the essence of first experiences.,"['Pop', 'Love']"
Happy under the Love,2015,5:55,True,Happy under the Love is a song that A soulful composition that explores the complexity of love.,"['Hip-Hop', 'Energetic']"
Heart under the Sunset,1997,4:19,True,Heart under the Sunset is a song that Evokes the essence of happy experiences.,"['Rock', 'Sad']"
Happy to the Night,2018,3:57,False,Happy to the Night is a song that A soulful composition that explores the complexity of dream.,"['Jazz', 'Relax']"
First for a Dream,2011,4:56,False,First for a Dream is a song that Evokes the essence of beautiful experiences.,"['Rock', 'Sad']"
Last Love,2003,2:03,False,Last Love is a song that An anthem that resonates with the feeling of night.,"['Pop', 'Love']"
Beautiful to the Sunset,2002,3:32,False,Beautiful to the Sunset is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Sunset without a Day,2011,4:06,True,Sunset without a Day is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Night to the Love,2016,3:14,True,Night to the Love is a song that A soulful composition that explores the complexity of sunset.,"['Pop', 'Love']"
Final of the Star,1991,3:31,True,Final of the Star is a song that An anthem that resonates with the feeling of sky.,"['Pop', 'Love']"
Eternal without a Star,1992,5:10,False,Eternal without a Star is a song that Evokes the essence of dark experiences.,"['Rock', 'Sad']"
Heart under the Star,2002,5:23,True,"Heart under the Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Eternal without a Dream,2004,4:47,False,Eternal without a Dream is a song that An anthem that resonates with the feeling of day.,"['Pop', 'Love']"
Eternal Dream,2014,4:20,True,Eternal Dream is a song that A soulful composition that explores the complexity of heart.,"['Jazz', 'Relax']"
Beautiful under the Sky,2020,3:25,False,Beautiful under the Sky is a song that A soulful composition that explores the complexity of love.,"['Pop', 'Love']"
Final to the Star,2009,5:55,True,"Final to the Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
First of the Sunset,1996,5:13,True,"First of the Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Star for a Day,1999,2:36,False,"Star for a Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Day of the Day,2004,3:20,True,Day of the Day is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Beautiful for a Dream,2001,3:04,False,"Beautiful for a Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Broken for a Dream,1992,4:22,True,"Broken for a Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Love for a Dream,1998,3:36,True,Love for a Dream is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Night beyond the Day,2015,5:48,False,Night beyond the Day is a song that Evokes the essence of beautiful experiences.,"['Rock', 'Sad']"
Last Star,1991,4:50,False,Last Star is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Beautiful Heart,2020,2:20,True,Beautiful Heart is a song that A soulful composition that explores the complexity of moon.,"['Rock', 'Sad']"
Lonely under the Night,1998,5:11,True,Lonely under the Night is a song that Evokes the essence of happy experiences.,"['Hip-Hop', 'Energetic']"
Beautiful of the Sunset,1991,2:40,True,Beautiful of the Sunset is a song that An anthem that resonates with the feeling of sunrise.,"['Hip-Hop', 'Energetic']"
Sky in the Love,1988,2:49,True,Sky in the Love is a song that Evokes the essence of happy experiences.,"['Pop', 'Love']"
Lonely Day,1986,2:03,True,"Lonely Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Broken to the Day,2007,4:41,True,Broken to the Day is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Moon to the Star,1993,2:06,False,Moon to the Star is a song that An anthem that resonates with the feeling of star.,"['Hip-Hop', 'Energetic']"
Eternal under the Day,2010,3:54,False,Eternal under the Day is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Final for a Day,1998,2:16,False,Final for a Day is a song that An anthem that resonates with the feeling of love.,"['Pop', 'Love']"
Happy Night,1995,5:33,True,Happy Night is a song that A soulful composition that explores the complexity of love.,"['Pop', 'Love']"
Beautiful for a Day,1984,5:57,True,"Beautiful for a Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
First Moon,2014,4:40,True,First Moon is a song that Evokes the essence of beautiful experiences.,"['Jazz', 'Relax']"
Happy without a Sky,1991,4:21,False,Happy without a Sky is a song that An anthem that resonates with the feeling of moon.,"['Jazz', 'Relax']"
Beautiful of the Sunset,2004,2:16,False,Beautiful of the Sunset is a song that An anthem that resonates with the feeling of love.,"['Hip-Hop', 'Energetic']"
Final Dream,2000,3:05,True,Final Dream is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Happy Dream,2015,3:05,True,"Happy Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Eternal Star,2002,3:00,False,Eternal Star is a song that Evokes the essence of final experiences.,"['Hip-Hop', 'Energetic']"
Sunrise to the Dream,1995,3:20,False,Sunrise to the Dream is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Bright Love,2018,2:01,False,Bright Love is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Bright Night,2021,3:47,True,Bright Night is a song that An anthem that resonates with the feeling of star.,"['Rock', 'Sad']"
Eternal of the Love,2018,2:01,True,Eternal of the Love is a song that An anthem that resonates with the feeling of dream.,"['Pop', 'Love']"
Beautiful for a Sunrise,1993,3:33,True,"Beautiful for a Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Eternal Heart,2010,5:47,False,"Eternal Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Final beyond the Day,1984,4:38,False,Final beyond the Day is a song that A soulful composition that explores the complexity of heart.,"['Rock', 'Sad']"
Sunset without a Sunrise,2014,3:11,True,Sunset without a Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Sunset of the Heart,2002,5:46,True,Sunset of the Heart is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Lonely without a Love,2008,5:37,False,Lonely without a Love is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Dream to the Sunrise,2022,5:58,True,Dream to the Sunrise is a song that Evokes the essence of eternal experiences.,"['Jazz', 'Relax']"
Dark of the Night,1990,3:34,False,Dark of the Night is a song that An anthem that resonates with the feeling of dream.,"['Rock', 'Sad']"
Moon for a Star,1997,5:50,False,"Moon for a Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Lonely without a Heart,1991,4:48,True,Lonely without a Heart is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Beautiful Day,1988,5:31,False,Beautiful Day is a song that Evokes the essence of first experiences.,"['Pop', 'Love']"
Sky to the Dream,1989,4:20,True,Sky to the Dream is a song that An anthem that resonates with the feeling of love.,"['Pop', 'Love']"
Sunrise in the Moon,2023,5:25,False,"Sunrise in the Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Happy Night,1996,4:03,False,"Happy Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Dark Dream,2017,3:51,True,Dark Dream is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Last Sky,1986,3:14,False,Last Sky is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Last Night,1992,5:39,True,Last Night is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Dream of the Star,2019,2:14,True,Dream of the Star is a song that A soulful composition that explores the complexity of love.,"['Pop', 'Love']"
Eternal Night,2021,3:51,False,Eternal Night is a song that Evokes the essence of dark experiences.,"['Hip-Hop', 'Energetic']"
Heart beyond the Star,1988,5:13,True,Heart beyond the Star is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Night to the Night,2006,4:40,True,Night to the Night is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Dark Sunset,1981,5:57,True,Dark Sunset is a song that An anthem that resonates with the feeling of sunrise.,"['Jazz', 'Relax']"
Beautiful Heart,1984,5:25,True,Beautiful Heart is a song that Evokes the essence of bright experiences.,"['Pop', 'Love']"
Sunset under the Night,2008,2:01,True,Sunset under the Night is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Dark for a Sunset,2016,2:55,True,Dark for a Sunset is a song that A soulful composition that explores the complexity of heart.,"['Rock', 'Sad']"
Dark for a Moon,2017,3:02,False,Dark for a Moon is a song that A soulful composition that explores the complexity of night.,"['Jazz', 'Relax']"
Heart for a Day,1998,5:43,True,Heart for a Day is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Moon beyond the Day,1987,2:41,False,Moon beyond the Day is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Moon in the Night,1980,5:34,False,Moon in the Night is a song that A soulful composition that explores the complexity of heart.,"['Pop', 'Love']"
Sky for a Heart,2001,3:38,True,Sky for a Heart is a song that Evokes the essence of happy experiences.,"['Pop', 'Love']"
Broken under the Day,1996,5:22,False,Broken under the Day is a song that An anthem that resonates with the feeling of sunrise.,"['Jazz', 'Relax']"
Star to the Heart,1986,2:58,False,Star to the Heart is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Bright under the Sunset,2004,3:42,True,Bright under the Sunset is a song that A soulful composition that explores the complexity of star.,"['Rock', 'Sad']"
Bright of the Sunset,1983,4:04,True,Bright of the Sunset is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Love of the Sunrise,2015,4:10,True,Love of the Sunrise is a song that An anthem that resonates with the feeling of heart.,"['Jazz', 'Relax']"
Night without a Day,1985,5:11,False,Night without a Day is a song that A soulful composition that explores the complexity of dream.,"['Jazz', 'Relax']"
Heart under the Sky,2010,3:07,False,Heart under the Sky is a song that Evokes the essence of last experiences.,"['Hip-Hop', 'Energetic']"
Sunset beyond the Dream,1998,5:59,True,Sunset beyond the Dream is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Broken without a Day,2023,5:40,True,Broken without a Day is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Final Love,2018,5:36,False,Final Love is a song that A soulful composition that explores the complexity of star.,"['Pop', 'Love']"
First Heart,2006,2:07,False,First Heart is a song that Evokes the essence of last experiences.,"['Jazz', 'Relax']"
Last for a Sunset,1989,4:08,False,Last for a Sunset is a song that A soulful composition that explores the complexity of day.,"['Hip-Hop', 'Energetic']"
Dark Sky,2005,4:14,False,"Dark Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Eternal Sunrise,1998,5:45,True,Eternal Sunrise is a song that Evokes the essence of last experiences.,"['Jazz', 'Relax']"
Happy to the Heart,2018,5:17,False,Happy to the Heart is a song that An anthem that resonates with the feeling of day.,"['Hip-Hop', 'Energetic']"
Final Heart,1982,3:59,False,Final Heart is a song that A soulful composition that explores the complexity of star.,"['Jazz', 'Relax']"
Dream to the Star,1992,5:05,False,Dream to the Star is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Bright in the Night,2007,5:01,False,Bright in the Night is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Moon beyond the Night,1999,4:15,True,Moon beyond the Night is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Dark Love,2007,4:44,True,"Dark Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Sunrise to the Sunrise,1987,4:26,False,"Sunrise to the Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Dream of the Sky,2020,3:42,False,Dream of the Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Final Love,2018,5:37,True,"Final Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Happy Sunset,1980,2:27,True,Happy Sunset is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Dark Sky,1982,2:54,False,Dark Sky is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
First Sunrise,1992,5:07,False,First Sunrise is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Dark beyond the Star,2007,2:31,True,Dark beyond the Star is a song that A soulful composition that explores the complexity of night.,"['Jazz', 'Relax']"
Beautiful in the Star,2004,5:47,True,Beautiful in the Star is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Beautiful Dream,2012,4:36,True,Beautiful Dream is a song that A soulful composition that explores the complexity of heart.,"['Rock', 'Sad']"
Lonely Day,2017,5:29,True,"Lonely Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Sunset beyond the Day,1985,3:45,True,Sunset beyond the Day is a song that A soulful composition that explores the complexity of dream.,"['Rock', 'Sad']"
Last in the Dream,2023,3:18,True,"Last in the Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Sunset of the Sunset,2011,5:08,False,Sunset of the Sunset is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Moon under the Sky,2000,5:10,True,Moon under the Sky is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Beautiful without a Dream,1995,3:54,True,Beautiful without a Dream is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Night without a Heart,2000,5:00,True,Night without a Heart is a song that A soulful composition that explores the complexity of sunset.,"['Pop', 'Love']"
Eternal Sky,1990,4:44,True,Eternal Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Eternal Sky,2016,4:52,False,Eternal Sky is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Happy Day,2015,2:29,False,Happy Day is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Love without a Sunrise,2014,2:33,True,"Love without a Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Bright to the Sky,1998,5:27,False,"Bright to the Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Last Day,1999,3:57,False,Last Day is a song that An anthem that resonates with the feeling of star.,"['Jazz', 'Relax']"
Love beyond the Dream,1997,4:58,False,Love beyond the Dream is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Sky in the Moon,2020,4:26,False,Sky in the Moon is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Happy under the Love,1993,2:24,False,"Happy under the Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Love in the Dream,1994,4:32,False,Love in the Dream is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Happy in the Heart,2010,5:24,True,Happy in the Heart is a song that A soulful composition that explores the complexity of moon.,"['Rock', 'Sad']"
Bright of the Sunset,1980,5:33,True,Bright of the Sunset is a song that An anthem that resonates with the feeling of love.,"['Jazz', 'Relax']"
Eternal Night,1982,3:04,True,Eternal Night is a song that Evokes the essence of beautiful experiences.,"['Jazz', 'Relax']"
Sunrise without a Moon,1995,4:27,True,Sunrise without a Moon is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Star under the Night,2002,2:08,True,Star under the Night is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Lonely under the Sunset,1990,5:37,False,Lonely under the Sunset is a song that Evokes the essence of final experiences.,"['Pop', 'Love']"
Eternal Sky,1991,3:05,True,"Eternal Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Dark Sunset,1989,4:59,True,"Dark Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Love of the Dream,2011,5:56,False,"Love of the Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Sunrise of the Sunrise,1995,4:01,False,Sunrise of the Sunrise is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Eternal without a Sunrise,1987,4:43,True,Eternal without a Sunrise is a song that An anthem that resonates with the feeling of night.,"['Jazz', 'Relax']"
Eternal Night,2017,5:08,False,Eternal Night is a song that A soulful composition that explores the complexity of love.,"['Rock', 'Sad']"
First without a Dream,1991,2:23,False,First without a Dream is a song that An anthem that resonates with the feeling of day.,"['Jazz', 'Relax']"
Final Love,2003,3:21,False,Final Love is a song that A soulful composition that explores the complexity of heart.,"['Rock', 'Sad']"
First of the Heart,2007,4:11,False,First of the Heart is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Love in the Moon,1987,5:29,True,Love in the Moon is a song that Evokes the essence of final experiences.,"['Rock', 'Sad']"
Final Love,2007,3:47,False,Final Love is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Moon in the Heart,2015,2:27,True,Moon in the Heart is a song that An anthem that resonates with the feeling of dream.,"['Pop', 'Love']"
First for a Love,2005,5:25,True,First for a Love is a song that An anthem that resonates with the feeling of dream.,"['Rock', 'Sad']"
Last under the Day,1987,3:32,False,Last under the Day is a song that An anthem that resonates with the feeling of love.,"['Hip-Hop', 'Energetic']"
Heart without a Heart,2007,2:34,False,Heart without a Heart is a song that Evokes the essence of first experiences.,"['Pop', 'Love']"
Beautiful in the Sky,2007,5:33,False,Beautiful in the Sky is a song that Evokes the essence of last experiences.,"['Pop', 'Love']"
Final Sunset,2016,2:50,True,"Final Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Heart of the Heart,2020,4:17,False,Heart of the Heart is a song that Evokes the essence of bright experiences.,"['Jazz', 'Relax']"
Moon to the Love,2015,3:10,False,Moon to the Love is a song that Evokes the essence of happy experiences.,"['Jazz', 'Relax']"
Sunset for a Moon,2006,2:22,False,"Sunset for a Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Final of the Star,1996,5:21,False,Final of the Star is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Sunrise to the Heart,1988,2:04,False,"Sunrise to the Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Beautiful beyond the Sunset,2012,5:10,True,Beautiful beyond the Sunset is a song that An anthem that resonates with the feeling of sunset.,"['Hip-Hop', 'Energetic']"
Lonely for a Love,1999,3:14,False,Lonely for a Love is a song that An anthem that resonates with the feeling of moon.,"['Hip-Hop', 'Energetic']"
Broken of the Day,1992,4:34,False,"Broken of the Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Dark under the Dream,2007,2:19,False,Dark under the Dream is a song that Evokes the essence of bright experiences.,"['Hip-Hop', 'Energetic']"
Eternal Sunrise,2008,2:15,True,Eternal Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Moon of the Moon,1992,3:01,False,Moon of the Moon is a song that Evokes the essence of broken experiences.,"['Hip-Hop', 'Energetic']"
Night to the Day,2014,4:39,True,Night to the Day is a song that A soulful composition that explores the complexity of day.,"['Jazz', 'Relax']"
Star in the Night,1985,5:27,True,"Star in the Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Night in the Star,1997,4:38,False,Night in the Star is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Bright in the Night,1984,3:08,False,"Bright in the Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Day to the Dream,2004,5:59,False,"Day to the Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Broken Star,1981,2:07,True,Broken Star is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Star beyond the Sunset,1989,4:22,True,Star beyond the Sunset is a song that A soulful composition that explores the complexity of sky.,"['Rock', 'Sad']"
Heart in the Moon,2009,5:02,True,"Heart in the Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Dream for a Love,1984,5:57,True,Dream for a Love is a song that An anthem that resonates with the feeling of heart.,"['Rock', 'Sad']"
Bright Moon,2012,2:46,True,Bright Moon is a song that A soulful composition that explores the complexity of love.,"['Rock', 'Sad']"
First in the Sky,1980,3:14,True,First in the Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Happy Night,1997,4:20,False,Happy Night is a song that An anthem that resonates with the feeling of night.,"['Jazz', 'Relax']"
Sunrise to the Star,2011,4:56,False,Sunrise to the Star is a song that Evokes the essence of final experiences.,"['Hip-Hop', 'Energetic']"
Bright in the Night,1990,2:52,True,Bright in the Night is a song that An anthem that resonates with the feeling of dream.,"['Rock', 'Sad']"
Bright Star,2000,3:51,False,Bright Star is a song that Evokes the essence of bright experiences.,"['Jazz', 'Relax']"
Love of the Moon,2005,3:35,False,Love of the Moon is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Beautiful in the Dream,2004,5:16,True,Beautiful in the Dream is a song that Evokes the essence of eternal experiences.,"['Jazz', 'Relax']"
Moon under the Moon,2001,4:08,True,Moon under the Moon is a song that A soulful composition that explores the complexity of sky.,"['Pop', 'Love']"
Sunrise beyond the Night,2006,4:59,False,"Sunrise beyond the Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Beautiful Sunrise,1992,2:14,True,"Beautiful Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Sunrise for a Dream,2012,3:50,True,Sunrise for a Dream is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Final of the Night,2013,2:05,False,Final of the Night is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Broken beyond the Heart,2020,4:26,True,Broken beyond the Heart is a song that A soulful composition that explores the complexity of night.,"['Jazz', 'Relax']"
Broken beyond the Moon,2014,4:58,False,Broken beyond the Moon is a song that A soulful composition that explores the complexity of love.,"['Rock', 'Sad']"
Sunrise in the Heart,1980,4:33,False,Sunrise in the Heart is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Final without a Moon,2000,5:45,False,Final without a Moon is a song that A soulful composition that explores the complexity of sunset.,"['Jazz', 'Relax']"
Happy without a Night,1985,3:13,False,"Happy without a Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Dark under the Moon,2007,5:52,False,Dark under the Moon is a song that A soulful composition that explores the complexity of heart.,"['Pop', 'Love']"
Bright Star,1996,5:34,True,Bright Star is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
First beyond the Moon,1984,4:29,True,First beyond the Moon is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
First under the Sky,2010,4:13,True,First under the Sky is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Moon of the Sunset,1984,4:19,True,Moon of the Sunset is a song that Evokes the essence of lonely experiences.,"['Pop', 'Love']"
Sunset of the Sky,2017,2:24,False,Sunset of the Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Eternal without a Heart,1982,5:23,False,Eternal without a Heart is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Sky without a Moon,2002,3:25,True,Sky without a Moon is a song that A soulful composition that explores the complexity of moon.,"['Pop', 'Love']"
Moon without a Love,2016,3:22,False,Moon without a Love is a song that An anthem that resonates with the feeling of moon.,"['Hip-Hop', 'Energetic']"
Bright Moon,2016,3:47,True,Bright Moon is a song that Evokes the essence of final experiences.,"['Hip-Hop', 'Energetic']"
Broken Dream,1989,2:18,True,Broken Dream is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Dream in the Sunrise,1989,3:50,True,Dream in the Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Star without a Day,1998,4:41,False,Star without a Day is a song that A soulful composition that explores the complexity of sunset.,"['Pop', 'Love']"
Last for a Star,1996,4:08,False,Last for a Star is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
